variable,field_type,validation,identifier
diagnosis_ca_gold_group,radio,,
diagnosis_ca_ics_dosage,radio,,
diagnosis_ca_mmrc_grade_score,text,integer,
diagnosis_ca_moderate_exacerbations_count,text,integer,
diagnosis_ca_pft_file,file,,y
diagnosis_ca_pft_lung,radio,,
diagnosis_ca_pft_within_6_months,radio,,
diagnosis_ca_pharmacologic_treatment,checkbox,,
diagnosis_ca_pulmonary_symptoms,checkbox,,
diagnosis_ca_responsiveness_criteria,radio,,
diagnosis_ca_restrictive,radio,,
diagnosis_ca_severe_exacerbations_count,text,integer,
diagnosis_ca_significant_inhalation_exposure_history,radio,,
diagnosis_ca_significant_inhalation_exposure_history_explanation,checkbox,,
diagnosis_ca_significant_inhalation_exposure_history_explanation_other,text,,
diagnosis_ca_spirometry_ce,radio,,
diagnosis_ca_spirometry_test,radio,,
diagnosis_ca_spirometry_verification,radio,,
diagnosis_degree_b,slider,number,
diagnosis_degree_b_2,radio,,
diagnosis_degree_comments,radio,,
diagnosis_degree_comments_other,text,,
diagnosis_degree_comments_other_2,text,,
diagnosis_degree_l,slider,number,
diagnosis_degree_l_2,radio,,
diagnosis_degree_l_nature,text,,
diagnosis_degree_os,slider,number,
diagnosis_degree_os_2,radio,,
diagnosis_degree_p,slider,number,
diagnosis_degree_p_2,radio,,
diagnosis_degree_p_nature,text,,
diagnosis_degree_r,slider,number,
diagnosis_degree_r_2,radio,,
diagnosis_degree_s,slider,number,
diagnosis_degree_s_2,radio,,
diagnosis_depression_clinical_subcategory,radio,,
diagnosis_depression_gsd,radio,,
diagnosis_depression_gsd_interview,yesno,,
diagnosis_depression_gsd_oqu,yesno,,
diagnosis_depression_gsd_oqu_other,text,,
diagnosis_depression_gsd_oquw,radio,,
diagnosis_diagnosed_ad,radio,,
diagnosis_diagnosed_ad_selection,radio,,
diagnosis_gi_d,radio,,
diagnosis_gi_d_aoc,radio,,
diagnosis_gi_d_aoc_other,text,,
diagnosis_gi_d_other,text,,
